year_th,name_n,province_n_th,product_amt,product_ratio,harvested_area,product_per_harvested_area,
2562,ลิ้นจี่,แพร่,112,0.0025,391,286.45,
2562,ลำไย,แพร่,1259,0.0012,4060,310.1,
2562,ลิ้นจี่,ราชบุรี,46,0.001,281,163.7,
2562,ยางพารา,ราชบุรี,4350,9.0E-4,26046,167.01,
2562,ลิ้นจี่,เลย,113,0.0025,489,231.08,
2562,ยางพารา,เลย,165544,0.033,678460,244,
2562,ลำไย,เลย,11387,0.0107,18667,610.01,
2562,ลำไย,ตาก,13834,0.013,18234,758.69,
2562,ยางพารา,นราธิวาส,225179,0.0449,883053,255,
2562,ลำไย,นครปฐม,1333,0.0012,1123,1187,
2562,ลำไย,หนองคาย,433,4.0E-4,620,698.39,
2562,ลำไย,นครราชสีมา,316,3.0E-4,761,415.24,
2562,ยางพารา,นครราชสีมา,9990,0.002,48732,205,
2562,ยางพารา,หนองคาย,61531,0.0123,261833,235,
2562,ลิ้นจี่,นครราชสีมา,99,0.0022,307,322.48,
2562,กระเทียม,นครราชสีมา,34,4.0E-4,45,755.56,
2562,ลำไย,สุโขทัย,614,6.0E-4,1265,485.38,
2562,ยางพารา,สุโขทัย,4411,9.0E-4,26895,164.01,
2562,ยางพารา,สระบุรี,322,1.0E-4,2516,127.98,
2562,ลำไย,สุพรรณบุรี,425,4.0E-4,523,812.62,
2562,ยางพารา,สุพรรณบุรี,739,1.0E-4,5911,125.02,
2557,ส้มเขียวหวาน,ตรัง,298,0.0022,155,1922.58,
2557,ส้มเขียวหวาน,สุโขทัย,34066,0.2473,25556,1332.99,
2557,ส้มเขียวหวาน,แพร่,7454,0.0541,11647,639.99,
2557,ส้มเขียวหวาน,เลย,747,0.0054,560,1333.93,
2557,ส้มเขียวหวาน,ตาก,382,0.0028,405,943.21,
2557,ส้มเขียวหวาน,กำแพงเพชร,8990,0.0653,3612,2488.93,
2561,ข้าวนาปี,เลย,64225,0.0162,436808,436195.1,
2561,ข้าวนาปี,อุบลราชธานี,275798,0.0696,3885310,3878416,
2561,ข้าวนาปี,สระบุรี,11752,0.003,271459,271300.7,
2561,ข้าวนาปี,อุดรธานี,158932,0.0401,1764250,1760824,
2561,ข้าวนาปี,สมุทรสงคราม,125,0,2240,2239.5,
2561,ข้าวนาปี,สุพรรณบุรี,51270,0.0129,946116,945435.8,
2561,ข้าวนาปี,สุโขทัย,51159,0.0129,841468,840383.4,
2561,ข้าวนาปี,หนองคาย,45507,0.0115,510440,509468.9,
2561,ข้าวนาปี,พิษณุโลก,58100,0.0147,1009908,1009483,
2561,ข้าวนาปี,นครราชสีมา,219952,0.0555,3187184,3181463,
2561,ข้าวนาปี,ตรัง,1480,4.0E-4,6859,6848.45,
2561,ข้าวนาปี,ตาก,32421,0.0082,321238,320850.9,
2561,ข้าวนาปี,นครปฐม,12366,0.0031,235130,234930.4,
2561,ข้าวนาปี,นราธิวาส,430,1.0E-4,1239,1236.63,
2561,ข้าวนาปี,กำแพงเพชร,46523,0.0117,993824,992580.8,
